Tukey_Contrast_Comparison,PAF,scaled_weaning_mo,scaled_AFR_mo,litters_year,litters_life,offspring_tot
Cebidae_Callitrichidae,NA,,NA,0.05,NA,0.05
Cercopithecidae_Callitrichidae,NA,NA,NA,0.01,NA,0.01
Daubentoniidae_Callitrichidae,0.05,NA,NA,NA,NA,NA
Galagonidae_Callitrichidae,0.05,NA,NA,NA,NA,NA
Hominidae_Callitrichidae,NA,0.05,NA,0.001,NA,0.01
Hylobatidae_Callitrichidae,NA,NA,0.01,NA,NA,NA
Lemuridae_Callitrichidae,0.001,NA,NA,NA,NA,NA
Loridae_Callitrichidae,0.01,NA,NA,NA,NA,NA
Cercopithecidae_Cebidae,NA,NA,NA,NA,NA,NA
Daubentoniidae_Cebidae,NA,NA,NA,NA,NA,NA
Galagonidae_Cebidae,NA,NA,NA,NA,NA,NA
Hominidae_Cebidae,NA,NA,NA,NA,NA,NA
Hylobatidae_Cebidae,NA,NA,0.05,NA,NA,NA
Lemuridae_Cebidae,0.001,NA,NA,NA,NA,0.05
Loridae_Cebidae,NA,NA,NA,NA,NA,NA
Daubentoniidae_Cercopithecidae,0.01,NA,NA,NA,NA,NA
Galagonidae_Cercopithecidae,0.01,NA,NA,NA,NA,NA
Hominidae_Cercopithecidae,NA,0.05,NA,NA,NA,NA
Hylobatidae_Cercopithecidae,NA,NA,NA,NA,NA,NA
Lemuridae_Cercopithecidae,0.001,NA,NA,NA,NA,0.05
Loridae_Cercopithecidae,0.001,NA,NA,NA,NA,NA
Galagonidae_Daubentoniidae,NA,NA,NA,NA,NA,NA
Hominidae_Daubentoniidae,0.05,NA,NA,NA,NA,NA
Hylobatidae_Daubentoniidae,0.05,NA,NA,NA,NA,NA
Lemuridae_Daubentoniidae,NA,NA,NA,NA,NA,NA
Loridae_Daubentoniidae,NA,NA,NA,NA,NA,NA
Hominidae_Galagonidae,0.01,0.05,,0.01,NA,NA
Hylobatidae_Galagonidae,0.05,NA,0.01,NA,NA,NA
Lemuridae_Galagonidae,NA,NA,NA,NA,NA,NA
Loridae_Galagonidae,NA,NA,NA,NA,NA,NA
Hylobatidae_Hominidae,NA,NA,NA,NA,NA,NA
Lemuridae_Hominidae,0.001,0.05,NA,NA,NA,0.05
Loridae_Hominidae,0.01,NA,NA,0.01,NA,NA
Lemuridae_Hylobatidae,0.001,NA,0.05,NA,NA,NA
Loridae_Hylobatidae,0.05,NA,0.01,NA,NA,NA
Loridae_Lemuridae,0.05,NA,NA,NA,NA,NA
